method,path,name,classification,authentication,csrf,trusted_origin,machine_guard,dependencies,allowlist_reason,compliant
GET,/api/v1/orbit-groups,list_groups,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,,YES
POST,/api/v1/orbit-groups,create_group,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
GET,/api/v1/orbit-groups/{group_id}/members,list_members,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,,YES
POST,/api/v1/orbit-groups/{group_id}/members,add_member,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
DELETE,/api/v1/orbit-groups/{group_id}/members/{person_id},remove_member,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
GET,/api/v1/orbit-layout,get_layout,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,,YES
PUT,/api/v1/orbit-layout,put_layout,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
GET,/api/v1/orbit-relationships,list_relationships,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,,YES
POST,/api/v1/orbit-relationships,create_relationship,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
GET,/api/v1/orbit-threads,list_threads,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,,YES
GET,/api/v1/orbits,list_orbits,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,,YES
POST,/api/v1/orbits,create_orbit,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
GET,/api/v1/orbits/current-state,current_state,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,,YES
POST,/api/v1/orbits/from-conversation,orbit_from_conversation,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
GET,/api/v1/orbits/people,list_people,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,,YES
POST,/api/v1/orbits/people,create_person,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
GET,/api/v1/orbits/{orbit_id},orbit_detail,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,,YES
