logical_path,current_git,01-NUR-INTEGRATION-20260722,02-NUR-WT-BACKEND,03-NUR-G10-G15,04-NUR-FABLE-ROOT,05-NUR-FABLE-CONTROL-MATRIX,06-NUR-LIVE-TALK-PROOF,07-NUR-DEMO-TALK-FIXED,08-NUR-DEMO-COUSIN,09-NUR-OLDER-LOCAL,10-NUR-DOWNLOADS-SOURCE,n_snapshots,n_distinct_versions,verdict
api/app/tests/test_v1_routes.py,ABSENT,-,-,-,-,-,-,-,-,fde96e41d36b,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/tests/test_voice_policy.py,ABSENT,-,-,-,-,-,-,-,-,46ecf75b5d2c,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/app/tests/test_waitlist_and_language.py,ABSENT,-,-,-,-,-,-,-,-,a49e61dd60a7,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/nur.sqlite3,ABSENT,-,-,-,-,-,-,-,-,6b1c979e00c9,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/requirements.txt,ABSENT,-,-,-,-,-,-,-,-,bcebbc9518fb,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
api/smoke_product.sqlite3,ABSENT,-,-,-,-,-,-,-,-,444ffd43e9d3,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
apps/api/Dockerfile,ef367f167730,ef367f167730,ef367f167730,ef367f167730,ef367f167730,ef367f167730,ef367f167730,ef367f167730,ef367f167730,-,ef367f167730,9,1,IDENTICAL_EVERYWHERE
apps/api/alembic.ini,043aab5a7361,043aab5a7361,043aab5a7361,043aab5a7361,043aab5a7361,043aab5a7361,043aab5a7361,043aab5a7361,043aab5a7361,-,043aab5a7361,9,1,IDENTICAL_EVERYWHERE
apps/api/alembic/env.py,fa5b3546bb33,fa5b3546bb33,fa5b3546bb33,fa5b3546bb33,fa5b3546bb33,fa5b3546bb33,fa5b3546bb33,fa5b3546bb33,fa5b3546bb33,-,fa5b3546bb33,9,1,IDENTICAL_EVERYWHERE
apps/api/alembic/script.py.mako,114d2c8daf11,114d2c8daf11,114d2c8daf11,114d2c8daf11,114d2c8daf11,114d2c8daf11,114d2c8daf11,114d2c8daf11,114d2c8daf11,-,114d2c8daf11,9,1,IDENTICAL_EVERYWHERE
apps/api/alembic/versions/0001_initial_schema.py,36f144e9258e,36f144e9258e,36f144e9258e,36f144e9258e,36f144e9258e,36f144e9258e,36f144e9258e,36f144e9258e,36f144e9258e,-,36f144e9258e,9,1,IDENTICAL_EVERYWHERE
apps/api/alembic/versions/0002_rls_policies.py,1d00491fffa4,1d00491fffa4,1d00491fffa4,1d00491fffa4,1d00491fffa4,1d00491fffa4,1d00491fffa4,1d00491fffa4,1d00491fffa4,-,1d00491fffa4,9,1,IDENTICAL_EVERYWHERE
apps/api/alembic/versions/0003_cognitive_substrate.py,ec6cbdac0969,ec6cbdac0969,ec6cbdac0969,ec6cbdac0969,ec6cbdac0969,ec6cbdac0969,ec6cbdac0969,ec6cbdac0969,ec6cbdac0969,-,ec6cbdac0969,9,1,IDENTICAL_EVERYWHERE
apps/api/alembic/versions/0004_shared_orbit.py,f00d8ead2593,f00d8ead2593,f00d8ead2593,f00d8ead2593,f00d8ead2593,f00d8ead2593,f00d8ead2593,f00d8ead2593,f00d8ead2593,-,f00d8ead2593,9,1,IDENTICAL_EVERYWHERE
apps/api/alembic/versions/0005_ai_readiness.py,a9da2eec415e,a9da2eec415e,a9da2eec415e,a9da2eec415e,a9da2eec415e,a9da2eec415e,a9da2eec415e,a9da2eec415e,a9da2eec415e,-,a9da2eec415e,9,1,IDENTICAL_EVERYWHERE
apps/api/alembic/versions/0006_quiet_sound_default.py,5ae01bbd43f4,5ae01bbd43f4,5ae01bbd43f4,5ae01bbd43f4,5ae01bbd43f4,5ae01bbd43f4,5ae01bbd43f4,5ae01bbd43f4,5ae01bbd43f4,-,5ae01bbd43f4,9,1,IDENTICAL_EVERYWHERE
apps/api/alembic/versions/0007_nur_omega_research_layer.py,adb8212d8836,adb8212d8836,adb8212d8836,adb8212d8836,adb8212d8836,adb8212d8836,adb8212d8836,adb8212d8836,adb8212d8836,-,adb8212d8836,9,1,IDENTICAL_EVERYWHERE
apps/api/alembic/versions/0008_omega_v1_review_queue.py,f23270a2b2ae,f23270a2b2ae,f23270a2b2ae,f23270a2b2ae,f23270a2b2ae,f23270a2b2ae,f23270a2b2ae,f23270a2b2ae,f23270a2b2ae,-,f23270a2b2ae,9,1,IDENTICAL_EVERYWHERE
apps/api/alembic/versions/0009_feature_lock_profile_preferences.py,6c1169280f68,6c1169280f68,6c1169280f68,6c1169280f68,6c1169280f68,6c1169280f68,6c1169280f68,6c1169280f68,6c1169280f68,-,6c1169280f68,9,1,IDENTICAL_EVERYWHERE
apps/api/alembic/versions/0010_product_surfaces_i18n.py,7eeae2876a68,7eeae2876a68,7eeae2876a68,7eeae2876a68,7eeae2876a68,7eeae2876a68,7eeae2876a68,7eeae2876a68,7eeae2876a68,-,7eeae2876a68,9,1,IDENTICAL_EVERYWHERE
apps/api/alembic/versions/0011_track_a_glow_translation.py,8f828614bdb6,8f828614bdb6,8f828614bdb6,8f828614bdb6,8f828614bdb6,8f828614bdb6,8f828614bdb6,8f828614bdb6,8f828614bdb6,-,-,8,1,IDENTICAL_EVERYWHERE
apps/api/alembic/versions/0012_sol_living_system.py,0f0ff085149c,0f0ff085149c,0f0ff085149c,0f0ff085149c,0f0ff085149c,0f0ff085149c,0f0ff085149c,0f0ff085149c,0f0ff085149c,-,-,8,1,IDENTICAL_EVERYWHERE
apps/api/alembic/versions/0013_map_feasibility.py,590d07a62fda,590d07a62fda,590d07a62fda,590d07a62fda,590d07a62fda,590d07a62fda,590d07a62fda,590d07a62fda,590d07a62fda,-,-,8,1,IDENTICAL_EVERYWHERE
apps/api/alembic/versions/0014_am_projects.py,e5b702922f97,e5b702922f97,e5b702922f97,e5b702922f97,e5b702922f97,e5b702922f97,e5b702922f97,e5b702922f97,e5b702922f97,-,-,8,1,IDENTICAL_EVERYWHERE
apps/api/alembic/versions/0015_live_intelligence.py,b64420814f8a,b64420814f8a,b64420814f8a,b64420814f8a,b64420814f8a,b64420814f8a,b64420814f8a,b64420814f8a,b64420814f8a,-,-,8,1,IDENTICAL_EVERYWHERE
apps/api/alembic/versions/0016_group_nur.py,4e9f8add813b,4e9f8add813b,4e9f8add813b,4e9f8add813b,4e9f8add813b,4e9f8add813b,4e9f8add813b,4e9f8add813b,4e9f8add813b,-,-,8,1,IDENTICAL_EVERYWHERE
apps/api/alembic/versions/0017_community_glow.py,98cf1cec378b,98cf1cec378b,98cf1cec378b,98cf1cec378b,98cf1cec378b,98cf1cec378b,98cf1cec378b,98cf1cec378b,98cf1cec378b,-,-,8,1,IDENTICAL_EVERYWHERE
apps/api/alembic/versions/0018_council_demo_markers.py,1eeb020af054,1eeb020af054,1eeb020af054,1eeb020af054,1eeb020af054,1eeb020af054,1eeb020af054,1eeb020af054,1eeb020af054,-,-,8,1,IDENTICAL_EVERYWHERE
apps/api/alembic/versions/0019_consultations.py,ab42bdf81ecf,ab42bdf81ecf,ab42bdf81ecf,ab42bdf81ecf,ab42bdf81ecf,ab42bdf81ecf,ab42bdf81ecf,ab42bdf81ecf,ab42bdf81ecf,-,-,8,1,IDENTICAL_EVERYWHERE
apps/api/alembic/versions/0020_notifications.py,30500f3c8f02,30500f3c8f02,30500f3c8f02,30500f3c8f02,30500f3c8f02,30500f3c8f02,30500f3c8f02,30500f3c8f02,30500f3c8f02,-,-,8,1,IDENTICAL_EVERYWHERE
apps/api/alembic/versions/0021_talk_stream_idempotency.py,80011c21a4b8,80011c21a4b8,80011c21a4b8,80011c21a4b8,80011c21a4b8,80011c21a4b8,80011c21a4b8,80011c21a4b8,80011c21a4b8,-,-,8,1,IDENTICAL_EVERYWHERE
apps/api/alembic/versions/0022_password_recovery.py,7c195799dec9,7c195799dec9,7c195799dec9,-,-,7c195799dec9,7c195799dec9,7c195799dec9,7c195799dec9,-,-,6,1,IDENTICAL_EVERYWHERE
apps/api/alembic/versions/0022_translation_contract.py,ABSENT,-,-,9c420cbbb5fe,-,-,-,-,-,-,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
apps/api/alembic/versions/0023_community_moderation.py,ABSENT,-,-,2f2558bb9300,-,-,-,-,-,-,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
apps/api/alembic/versions/0023_personal_memory_spine.py,8415331c72df,8415331c72df,8415331c72df,-,-,8415331c72df,8415331c72df,8415331c72df,8415331c72df,-,-,6,1,IDENTICAL_EVERYWHERE
apps/api/alembic/versions/0024_group_research.py,ABSENT,-,-,c88a6ddd256b,-,-,-,-,-,-,-,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
apps/api/alembic/versions/0024_teach_nur_pipeline.py,3d4619f4cd7d,3d4619f4cd7d,3d4619f4cd7d,-,-,3d4619f4cd7d,3d4619f4cd7d,3d4619f4cd7d,3d4619f4cd7d,-,-,6,1,IDENTICAL_EVERYWHERE
apps/api/alembic/versions/0025_billing_revenue_spine.py,361088664890,361088664890,361088664890,-,-,361088664890,361088664890,361088664890,361088664890,-,-,6,1,IDENTICAL_EVERYWHERE
apps/api/alembic/versions/0026_glow_progression_spine.py,8bd884cbcb7d,8bd884cbcb7d,55637ba18d22,-,-,8bd884cbcb7d,8bd884cbcb7d,8bd884cbcb7d,8bd884cbcb7d,-,-,6,2,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/alembic/versions/0027_translation_contract.py,544249464477,544249464477,-,-,-,544249464477,544249464477,544249464477,544249464477,-,-,5,1,IDENTICAL_EVERYWHERE
apps/api/alembic/versions/0028_community_moderation.py,9877145d9769,9877145d9769,-,-,-,9877145d9769,9877145d9769,9877145d9769,-,-,-,4,1,IDENTICAL_EVERYWHERE
apps/api/alembic/versions/0029_group_research.py,fd5dbb9743d4,fd5dbb9743d4,-,-,-,fd5dbb9743d4,fd5dbb9743d4,fd5dbb9743d4,-,-,-,4,1,IDENTICAL_EVERYWHERE
apps/api/alembic/versions/0030_project_execution_storage.py,2a73930c1859,2a73930c1859,-,-,-,2a73930c1859,2a73930c1859,-,-,-,-,3,1,IDENTICAL_EVERYWHERE
apps/api/app/__init__.py,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,-,e3b0c44298fc,9,1,IDENTICAL_EVERYWHERE
apps/api/app/ai/__init__.py,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,-,e3b0c44298fc,9,1,IDENTICAL_EVERYWHERE
apps/api/app/ai/audit.py,acd4b9b385b4,acd4b9b385b4,acd4b9b385b4,fdebc51c6a8c,fdebc51c6a8c,acd4b9b385b4,acd4b9b385b4,acd4b9b385b4,acd4b9b385b4,-,fdebc51c6a8c,9,2,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/ai/budget.py,e3852367581f,e3852367581f,e3852367581f,a7688a5626c2,a7688a5626c2,e3852367581f,e3852367581f,e3852367581f,e3852367581f,-,a7688a5626c2,9,2,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/ai/errors.py,2bc2f75084c5,2bc2f75084c5,2bc2f75084c5,113fe4d43f29,113fe4d43f29,2bc2f75084c5,2bc2f75084c5,2bc2f75084c5,2bc2f75084c5,-,113fe4d43f29,9,2,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/ai/openai_provider.py,c7fdd304916f,88a1fb0ea8b9,88a1fb0ea8b9,0b0418e8160b,0b0418e8160b,88a1fb0ea8b9,c7fdd304916f,88a1fb0ea8b9,88a1fb0ea8b9,-,7044654b480a,9,4,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/ai/prompts.py,9d9aa818dfe5,ce62d2c4835d,ce62d2c4835d,f40528374ed5,f40528374ed5,ce62d2c4835d,9d9aa818dfe5,ce62d2c4835d,ce62d2c4835d,-,f40528374ed5,9,3,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/ai/provider.py,13ac4627ea00,13ac4627ea00,13ac4627ea00,13ac4627ea00,13ac4627ea00,13ac4627ea00,13ac4627ea00,13ac4627ea00,13ac4627ea00,-,eb87a3483b7e,9,2,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/ai/redaction.py,6d05326d2ccd,6d05326d2ccd,6d05326d2ccd,6d05326d2ccd,6d05326d2ccd,6d05326d2ccd,6d05326d2ccd,6d05326d2ccd,6d05326d2ccd,-,6d05326d2ccd,9,1,IDENTICAL_EVERYWHERE
apps/api/app/ai/schemas.py,6dc3a82bb553,6dc3a82bb553,6dc3a82bb553,743cd30f9be3,743cd30f9be3,6dc3a82bb553,6dc3a82bb553,6dc3a82bb553,6dc3a82bb553,-,4963d0e499ad,9,3,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/ai/structured_outputs.py,3fcd27ac0abb,3fcd27ac0abb,3fcd27ac0abb,3fcd27ac0abb,3fcd27ac0abb,3fcd27ac0abb,3fcd27ac0abb,3fcd27ac0abb,3fcd27ac0abb,-,3fcd27ac0abb,9,1,IDENTICAL_EVERYWHERE
apps/api/app/api/__init__.py,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,-,e3b0c44298fc,9,1,IDENTICAL_EVERYWHERE
apps/api/app/api/deps.py,ffa19c8120c4,ffa19c8120c4,ffa19c8120c4,f7cdf11fb8c1,f7cdf11fb8c1,ffa19c8120c4,ffa19c8120c4,ffa19c8120c4,ffa19c8120c4,-,f7cdf11fb8c1,9,2,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/api/health.py,41a06be8c826,41a06be8c826,8f0bfe118ed9,8f0bfe118ed9,8f0bfe118ed9,8f0bfe118ed9,8f0bfe118ed9,8f0bfe118ed9,8f0bfe118ed9,-,8f0bfe118ed9,9,2,CURRENT_MATCHES_SOME_ARCHIVE
apps/api/app/api/v1/__init__.py,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,e3b0c44298fc,-,e3b0c44298fc,9,1,IDENTICAL_EVERYWHERE
apps/api/app/api/v1/auth.py,41a51ed1e7ce,41a51ed1e7ce,41a51ed1e7ce,41a51ed1e7ce,41a51ed1e7ce,41a51ed1e7ce,41a51ed1e7ce,41a51ed1e7ce,41a51ed1e7ce,-,41a51ed1e7ce,9,1,IDENTICAL_EVERYWHERE
apps/api/app/api/v1/capsules.py,5f2b54962025,5f2b54962025,5f2b54962025,5f2b54962025,5f2b54962025,5f2b54962025,5f2b54962025,5f2b54962025,5f2b54962025,-,5f2b54962025,9,1,IDENTICAL_EVERYWHERE
apps/api/app/api/v1/cognition.py,7b429630ce0e,7b429630ce0e,7b429630ce0e,2bdb332f8771,2bdb332f8771,7b429630ce0e,7b429630ce0e,7b429630ce0e,7b429630ce0e,-,f10528ff74bb,9,3,CURRENT_MATCHES_SOME_ARCHIVE
